"class,comment"
"positif, b'Stay strong pejuang PPKM'"
"netral, b'RT @ChusnulCh__: KH Sofwan Nizhomi memberikan klarifikasi kepada polisi terkait video ceramahnya yang menyebut PPKM menghalangi Idul Adha v\xe2\x80\xa6'"
"negatif, b'Dapet event di jakarta, client nya udah ngebet tp ppkm gabisa masuk jkt. Asu deh \xf0\x9f\x98\x8c'"
"positif, b'RT @Rizmaya__: PT Equity merujuk pada Instruksi Menteri Dalam Negeri Nomor 15 Tahun 2021 tentang PPKM Darurat Covid-19 di Wilayah Jawa dan\xe2\x80\xa6'"
"positif, b'RT @wantahgdn: Perkembangan positif covid-19 masih di dompet pulau Jawa dan Bali. \nYuk!!  Di masa PPKM Darurat kita bantu pemerintah untuk\xe2\x80\xa6'"
"negatif, b'RT @idtodayco: Poster Jokowi Pembual Tersebar di Tasikmalaya Gara-gara PPKM Darurat https://t.co/7AljfGzl9W'"
"positif, b'RT @KakMayong: Prediksi PPKM Darurat akan panjang. Tapi semoga Tuhan kasih mukjizat \xf0\x9f\x98\x8a\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb Amien !!'"
"negatif, b'Ppkm kembali ke awal lagi \xf0\x9f\x99\x82'"
"positif, b'Hari Kelima PPKM Darurat, Kakorlantas : Antrian di Pos Penyekatan LA Mulai Lengang\nhttps://t.co/nUHPGeaH5L'"
"negatif, b'PPKM sampe tagal 20  bantuan kagak ada Rakyat di kurung yg cari makan di denda . Tp mereka yg punya jabataan enak diem di rmh juga udh di gaji ma negara.\n\n#LockdownJokowi\n#LockdownJokowi'"
"positif, b""@Bang_Garr Alhamdulillah dapat tunjangan PPKM dari lapak @Bang_Garr  semoga berkah.... aamiin ya rabbal'alamin"""
"positif, b'INFO POLRI\nPPKM Darurat sesuai Inmendagri 15, tahun 2021. Dimana resepsi pernikahan dihadiri maksimal 30( tiga puluh) orang dengan kesehatan secara lebih ketat dan tidak menerapkan makan ditempat resepsi, penyediaan makanan hanya diperbolehkan dalam tempat tertutup https://t.co/yGjVRts5cl'"
"netral, b'RT @panca66: Udah mulai berani beda dengan opung nih Bamsoet\n\nhttps://t.co/fZfSHk4VvJ'"
"positif, b'Maksimalkan PPKM Darurat, Bupati Bogor Keluarkan Tujuh Instruksi \xe2\x80\x93\xc2\xa0https://t.co/IBWuQdMMUf https://t.co/TigyoiXyto'"
"negatif, b'RT @Endriyw: Petugas dishub Kepergok nongkrong saat PPKM\xf0\x9f\x98\x86 https://t.co/E07DlXk3Xh'"
"netral, b'Walah...lgi PPKM DARURAT ngadain kegiatan offline https://t.co/PKh30jSwoG'"
"negatif, b'RT @Ndons_Back: Tasikmalaya - \n\xe2\x80\x9cSaya menentang aturan PPKM ini, karena tidak berprikemanusian dan tidak berkerakyatan, saya menolak untuk t\xe2\x80\xa6'"
"negatif, b'RT @Cobeh09: Kenapa PPKM\nSusah Dipatuhi\nDan Tidak Akan Efektif\nMembatasi Pergerakan Masyarakat ?\nKarena PEMERINTAH :\n1. Lepas Tangan,\nTidak\xe2\x80\xa6'"
"negatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
"negatif, b'RT @Ndons_Back: Tasikmalaya - \n\xe2\x80\x9cSaya menentang aturan PPKM ini, karena tidak berprikemanusian dan tidak berkerakyatan, saya menolak untuk t\xe2\x80\xa6'"
"positif, b'RT @ChusnulCh__: Lanjut seperti kemarin teman2, selain saat ini ikhtiar pemerintah adlh PPKM Darurat, mari kita taati bersama, mari kita di\xe2\x80\xa6'"
"negatif, b'Rakyat disuruh patuh prokes, pemerintah abai urus hajat hidup rakyat yang terdampak. \n\nMenghindari kata ""lockdown"", menggantinya dari psbb menjadi ppkm, dst. \n\nHingga sekarang ini orang\xc2\xb2 itu masih dengan pedenya bahwa caranya ampuh. \n\n#LengserkanPakLurah\n#LengserkanPakLurah https://t.co/zWSRJnq6mw'"
"netral, b'RT @muannas_alaidid: Pak  @aniesbaswedan harus minta maaf jgn gengsi, apa yg anda lakukan itu jelas keliru krn kantor asuransi itu esensial\xe2\x80\xa6'"
"positif, b'Terdampak PPKM Darurat, 121 Ribu Lebih Warga DIY Dapat BST Mulai Juli Ini- Opsi\xc2\xa0Flash https://t.co/BN79JXaCUC'"
"negatif, b'RT @andihiyat: PPKM\nPelan Pelan Kehabisan Money'"
"positif, b'RT @Hilmi28: Saran &amp; masukan saya untuk pemerintah, semoga didengar untuk kebaikan Indonesia tercinta. Yuk teman2, kita bantu pemerintah me\xe2\x80\xa6'"
"positif, b'RT @txtdrciteureup: PPKM Sesama : Pelan Pelan Kita Membantu Sesama.\nBantu RT yaa reups https://t.co/v9i4JAdy2G'"
"negatif, b'PPKM LAGI NI.\n* yang barusan/mau nikah BLN ini      jangan berkembang biak dulu yaa\n* takut nya kontrol hamil di kira covid soalnya mual mual \xf0\x9f\x98\x86\xf0\x9f\x98\x87'"
"negatif, b'PPKM dan di rumah gini mau gofood jg sungkan sm Abangnya, la wong jalannya tutupan kabeh 24 jam, kebijakan paling tidak bermutu,'"
"netral, b'RT @Endriyw: Petugas dishub Kepergok nongkrong saat PPKM\xf0\x9f\x98\x86 https://t.co/E07DlXk3Xh'"
"netral, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
"negatif, b'Tasikmalaya - \n\xe2\x80\x9cSaya menentang aturan PPKM ini, karena tidak berprikemanusian dan tidak berkerakyatan, saya menolak untuk tutup, saya sebagai pedagang kopi, petani kopi, tukang cimol, nasi goreng, tukang seblak menolak aturan ini,\xe2\x80\x9d kata Naza Fitri. https://t.co/bLbPEkedA0 https://t.co/41he4y9cQz'"
"netral, b'RT @NinjaCir3ng: PakPol &amp; Petugas laennya, nih gw kasih ingpow Masih ada spekulan2 jahat Yg manfaatin kondisi PPKM darurat. Tertibkan tanpa\xe2\x80\xa6'"
"netral, b'RT @muannas_alaidid: Pak  @aniesbaswedan harus minta maaf jgn gengsi, apa yg anda lakukan itu jelas keliru krn kantor asuransi itu esensial\xe2\x80\xa6'"
"negatif, b'Yg pengabdi pada PPKM biar covid turun atau bilang ""Yuk biar cepet selesai yuk"" Selesai juga idup orang, boro"" diem dirumah buat makan sehari - hari aja harus liat pemasukan dari penjualan, kalau emng mau cepet selesai kenapa swab, vitamin, oksigen ga digratiskan?'"
"netral, b'Tukang Bubur Kena Denda PPKM Rp 5 Juta, Sempat Cari Pinjaman untuk Bayar, Kini Malah Diberi Bantuan https://t.co/gZEYj5Ju4J'"
"netral, b'RT @maspiyuaja: Tukang Bubur Tasikmalaya Dapat Bantuan Rp 5 Juta dari ""Hamba Allah"" Untuk Bayar Denda Pelanggaran PPKM Darurat https://t.co\xe2\x80\xa6'"
"netral, b'RT @panca66: Udah mulai berani beda dengan opung nih Bamsoet\n\nhttps://t.co/fZfSHk4VvJ'"
"positif, b'RT @sociotalker: sebenarnya dlm aturan ppkm darurat, pdagang makanan kaki5 bisa tetap buka tanpa makan di tempat. kalo ada yg melanggar cuk\xe2\x80\xa6'"
"netral, b'RT @maspiyuaja: Tukang Bubur Tasikmalaya Dapat Bantuan Rp 5 Juta dari ""Hamba Allah"" Untuk Bayar Denda Pelanggaran PPKM Darurat https://t.co\xe2\x80\xa6'"
"positif, b'RT @sociotalker: sebenarnya dlm aturan ppkm darurat, pdagang makanan kaki5 bisa tetap buka tanpa makan di tempat. kalo ada yg melanggar cuk\xe2\x80\xa6'"
"netral, b'RT @andihiyat: PPKM\nPelan Pelan Kehabisan Money'"
"netral, b'INFO POLRI\nPPKM Darurat sesuai Inmendagri 15, tahun 2021. Dimana resepsi pernikahan dihadiri maksimal 30( tiga puluh) orang dengan kesehatan secara lebih ketat dan tidak menerapkan makan ditempat resepsi.\n@divisihumaspolri @polisi_indonesia\n #Poldasulsel #polripresisi2021 https://t.co/A68pQlj24Y'"
"netral, b'RT @avakorut: ppkm juli 2021 https://t.co/YDCwL4foKV'"
"netral, b'RT @ArizaPatria: Kantor anda kami tutup karena melanggar aturan PPKM Darurat. Kamerin kami sidak sebagai tindak lanjut laporan masyarakat d\xe2\x80\xa6'"
"netral, b'RT @panca66: Udah mulai berani beda dengan opung nih Bamsoet\n\nhttps://t.co/fZfSHk4VvJ'"
"netral, b'RT @RahmayadiEdy: Selama masa PPKM Mikro ini, tempat ibadah diperbolehkan buka sepanjang masih menerapkan Protokol Kesehatan yang ketat. Ke\xe2\x80\xa6'"
"negatif, b'ppkm anju ppkm gila'"
"netral, b'RT @ngelonteee: ppkm : pelan pelan kan msukinnya?'"
"netral, b'@ridwankamil Bareng teman gibah kami bahas beda perlakuan 3 provinsi thdp PPKM Darurat. Ada Jabar juga, Kang. Ehehehe \n\nhttps://t.co/rMmXUkjjcF'"
"positif, b'@Dimasaw_co @Kayakuwek @Uki23 @aniesbaswedan @Metro_TV Betawi tulen doong... di kampung gw jg banyak yg ndableg, tapi begitu ada yg meninggal gegara covid mereka mulai pake masker... aparat jumlah nya terbatas makanya di umum kan lewat berbagai media soal, prokes PPKM dgn harapan di patuhi'"
"negatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
"positif, b'Arnold Rosumbre (Direktur Yayasan Hak Asasi Manusia Anti Kekerasan/Yahamak Mimika) Dukung Program PPKM Darurat https://t.co/wgZhW9NE1p'"
"negatif, b'RT @brandalsantri45: Hmm..\nnegatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'Makin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
"netral, b'Bansos Tunai PPKM Darurat: Besaran, Syarat dan Cara Cek di https://t.co/YOyS9GRVX4 \xe2\x80\x93\xc2\xa0suara https://t.co/uQIES7jV3b'"
"netral, b'Tak Berlaku untuk Semua PKL, Simak Aturan Take Away saat PPKM Darurat di Balikpapan - Tribun Kaltim https://t.co/kp5cwGyMK3 https://t.co/M5h6K3ZTFW'"
"negatif, b'@sensiamat Ppkm hlo mumet2 jalan e ditutup i, km enak cedek nggon kerja'"
"netral, b'RT @TMCPoldaMetro: Di Imbau bagi masyarakat untuk tidak melakukan olahraga sepeda di sepanjang Jl. Sudirman-Thamrin dalam rangka Pemberlaku\xe2\x80\xa6'"
"netral, b'RT @maspiyuaja: Tukang Bubur Tasikmalaya Dapat Bantuan Rp 5 Juta dari ""Hamba Allah"" Untuk Bayar Denda Pelanggaran PPKM Darurat https://t.co\xe2\x80\xa6'"
"negatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
b'Habis PPKM apalagi ya. Gonta ganti judul ga selesai2.'
"negatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
b'@Bagus_n_f_s Lagi ppkm bos ndak boleh ider dulu'
"b'RT @partaigeloraid: Pakar kebijakan publik Achmad Nur Hidayat menilai PPKM Darurat tidak efektif meredam Covid-19 varian Delta. Menurutnya,\xe2\x80\xa6'"
b'RT @_suryamoch: PPKM kepanjangan nya apa?'
"b'harusnya hari ini balik ke site, berhubung kena imbas PPKM mari melanjutkan tidur kembali \xe2\x9c\xa8'"
b'Wih seoul bersiap buat ppkm juga'
b'PEMBATASAN MOBILITAS PPKM DARURAT\nPOLRES PASURUAN\n\n#JOGOPASURUAN #PASURUANKEBALCOVID \n#JATIMBERMASKER https://t.co/wySKpEJxth'
"negatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
"b'Polsek Wonotirto Polres Blitar melaksanakan Operasi Yustisi penegakan PPKM Darurat untuk mencegah penyebaran Covid-19 di Wilayah Kecamatan Wonotirto Kabupaten Blitar (Kamis, 8 Juli 2021).\n\n#PPKMDarurat\n#PatuhiProkes\n#PolriPresisi\n#JatimBangkit https://t.co/d87ZCrDbhv'"
b'RT @andihiyat: PPKM\nPelan Pelan Kehabisan Money'
b'RT @Cobeh09: PPKM\nPerbanyak Pergi Ke Mesjid https://t.co/pOU9vfIOBQ'
b'Bulog Siapkan 200.000 Ton Beras Bansos di Masa PPKM \xe2\x80\x93 KOMPAS- https://t.co/v8E44Odp1u https://t.co/F7xROb07av'
"negatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
"negatif, b'@jokowi PPKM kasih bantuan pak jangan PPKM terus ttp tdk ada bantuan, bagaimana rakyat mau mentaati nya... Butuh lepas, harian, karyawan beda dengan ASN walau Kami tak kerja tak makan pak... Beda dg ASN walaupun bertahun mereka PPKM mereka tetap dapat gaji....'"
"netral, b'RT @andihiyat: PPKM\nPelan Pelan Kehabisan Money'"
"netral, b'RT @BiLLRaY2019: Kepada petugas, Praka Izroi sudah menyampaikan dirinya adalah anggota Paspampres yg sedang menuju ke Satuannya untuk bertu\xe2\x80\xa6'"
"positif, b'Sehat dan selamat\nAyo patuhi PPKM darurat.\n@divisihumaspolri @polisi_indonesia\n #Poldasulsel #polripresisi2021 https://t.co/2U8Y1wu1gP'"
"negatif, b'RT @Endriyw: Petugas dishub Kepergok nongkrong saat PPKM\xf0\x9f\x98\x86 https://t.co/E07DlXk3Xh'"
"positif, b'Bulog Siapkan 200.000 Ton Beras Bansos di Masa PPKM \xe2\x80\x93\xc2\xa0KOMPAS https://t.co/nRBT2tBlrw'"
"negatif, b'RT @brandalsantri45: Hmm..\nMakin kesini, makin syuram pelaksanaan PPKM Darurat.\nPetugas arogannya bak pahlawan.\nSemalam di Pringlangu-Pekal\xe2\x80\xa6'"
"negatif, b'Kata Luhut Rakyat Bisa Mati Kalau Lockdown, Aktivis: PPKM Rakyat Juga Nggak Diberi Makan\n\nhttps://t.co/aALRmrjEi3'"
"netral, b'RT @poldajateng_: Penyekatan, Pemeriksaan &amp; Pengalihan Arus Lalulintas di Brebes dalam rangka PPKM Darurat di wilayah hukum Polres Brebes g\xe2\x80\xa6'"
"negatif, b'RT @PemetikAksara: \xe2\x98\x85 @AchawiShinta \nDunia lebih gawat lagi\nPPKM di seluruh Indonesia\nBerita Jin di Madura\nDan pernikahanmu di bulan ini\n\n#P\xe2\x80\xa6'"
"positif, b'RT @txtdrciteureup: PPKM Sesama : Pelan Pelan Kita Membantu Sesama.\nBantu RT yaa reups https://t.co/v9i4JAdy2G'"
"netral, b'RT @MediaKomando: 53 Warga Desa Sawo Tratap Positif Covid, Pangdam Minta Posko PPKM Darurat Ditingkatkan https://t.co/OSmPZD7Nju'"
"netral, b'Operasi Yustisi PPKM Darurat Sidoarjo Sisir Perkampungan https://t.co/60TM7PzBcs'"
"positif, b'Selamat Pagi, Kami informasikan dalam rangka di berlakukannya PPKM Darurat \n \nBahwa terhitung mulai hari ini diberlakukan penyekatan di 4 titik dalam Kota Singaraja diantaranya :  \n- Simpang Banyuasri\n- Simpang Penarukan\n- Taman Bungkarno\n- Patung Bima https://t.co/NJq7HYzgD6'"
"netral, b'RT @andihiyat: PPKM\nPelan Pelan Kehabisan Money'"
"netral, b'@selimutanmetmet Kan belum PPKM, Den'"
"netral, b'RT @Cintada16: Pelanggar PPKM di hukum keliling makam covid-19 (surabaya) . \xf0\x9f\x91\x8d https://t.co/j0fvqTl87M'"
"negatif, b'RT @morodjoyo: Pemimpin..\nThe Big of Contradictions...\n\nPPKM....\n\nPak Pak Kapan Mundur...'"
"negatif, b'Ppkm meresahkan https://t.co/rMVQWUQkoL'"
"negatif, b'@Rimbunsimatupa5 @Hannry888 @alisyarief @jokowi Perokes? \n\nAturan yang muncul hanya musiman disaat moment tertentu. \n\nApalgi koordinator ppkm opung yang tidak paham uu tentang sangsi dan hak'"
"positif, b'RT @andriandinoraa: PPKM: Perbanyak sholat. Perbanyak sedekah. Kuatkan iman. Menjauhi maksiat.'"
"negatif, b'RT @joeyakarta: Hingga per 7 Juli 2021 mobilitas warga DIY hanya turun antara 13%-15%. Jauh dr target kurangi mobilitas hingga 50%\nMsh ting\xe2\x80\xa6'"
"netral, b'RT @nety_rusi: Kata Pak @aniesbaswedan warga yang melaporkan pelanggaran PPKM Darurat melalui aplikasi JAKI akan dijamin kerahasiaannya, in\xe2\x80\xa6'"
"netral, b'Mendagri Tito: PPKM Darurat Luar Jawa - Bali untuk Menghindari Efek Ping Pong - https://t.co/1jTVXGbTj7 https://t.co/0UzlFSlyxH https://t.co/yCf5gaDmEQ'"
"positif, b'pelaksanaan PPKM darurat sudah tepat\n\nYuk Disiplin PPKM https://t.co/eo8iOpgHrz'"
"netral, b'Ini Aturan Lengkap PPKM Darurat di 15 Kota Non Jawa-Bali News - CNBC Indonesia https://t.co/f2dnF2V34x https://t.co/5LqoXLWTPS'"
"positif, b'RT @andriandinoraa: PPKM: Perbanyak sholat. Perbanyak sedekah. Kuatkan iman. Menjauhi maksiat.'"
"netral, b'Sampaikan Protokol Kesehatan di Tengah PPKM, Patroli Brimob Kaltim Sambangi Jalan Cokro Samarinda\xc2\xa0Seberang https://t.co/rHnNs7FWA8'"
"netral, b'Batam dan Tanjungpinang Ditetapkan Daerah PPKM Darurat, Berlaku Mulai 12 Juli - https://t.co/lLRY0pD2gS - https://t.co/lLRY0pD2gS https://t.co/MhG7ugVfSD https://t.co/iXlR2cf6bp'"
"netral, b'RT @rollingdoorr: tukang bubur kenek hukum ppkm gara2 daun bawange diganti daun pintu @pakantono https://t.co/AWqTucF8hH'"
"netral, b'Sosialisasi Inmendagri PPKM Darurat Kepada Pengelola Wisata, Penginapan dan Kuliner \xe2\x80\x93 Pemerintah Kabupaten Jember - Pemkab Jember https://t.co/F1rNhZgp5i'"
b'Top 3 Berita Hari Ini: Kuota Pendakian Gunung Rinjani Turun Jadi 25 Persen Selama PPKM Mikro - https://t.co/1xt3mP2zh0 https://t.co/cEFBZ0pKLz'
"positif, b'PPKM solusi terbaik atasi pandemi\n\nYuk Disiplin PPKM https://t.co/932c3nh0yL'"
"netral, b'Kapolsek Rengasdengklok Polres karawang Kompol Agus Setiawan, https://t.co/auGqsx9fP0. beserta Anggota Gabungan TNI-POLRI dan Satpol PP Melaksanakan Woro-woro Pemberlakuan PPKM Darurat menghimbau agar semua Pemilik Warung di Sekitar Lapangan Bojongtugu Segera Menutup Warungnya.\n. https://t.co/JHBb2sjfM2'"
"netral, b'Ada PPKM Mikro, Pemerintah Tetap Isyaratkan Sekolah Tatap Muka di Luar Jawa-Bali https://t.co/KCkI2hBn4T'"
"positif, b'@SautSitinjak4 @PDemokrat Tanda2 partai udh tenggelam, apa aja disamber buat pegangan\nYuk Disiplin PPKM #terimakasihnakes #RakyatBersamaJokowi'"
"positif,b'RT @cholilnafis: Masjid Tak ditutup Selama PPKM Darurat\n\nWalhamdulillah. Pemerintah mau mendengar aspirasi umat. Masjid jangan ditutup teta\xe2\x80\xa6'"
"netral, b'RT @DioR3born: Pemerintah berkomitmen mempercepat penanganan kovid-19 di daerah Jawa dan Bali. Oleh sebab itulah kebijakan PPKM Darurat Jaw\xe2\x80\xa6'"
"negatif, b'Orang-orang sekarang udah kaya lebih hina dari penjahat dan koruptor. \nPPKM cuma menyekik rakyat kecil. Tolong lihat rakyat mu pak.\n#BapakPresidenMenyerahlah\n#LengserkanPakLurah\n#MundurAjaPakde \n#BersamaUntukWarga \n#CegahLajunyaPandemi https://t.co/SoZY7POXip'"
"netal, b'PPKM \nPura pura kangen mantan \n\xf0\x9f\x98\x84\xf0\x9f\x98\x84'"
"netral, b'Lagi masa pandemi malah korupsi, Yuk Disiplin PPKM\nhttps://t.co/0cYy9DfOFp'"
"ntral,b'RT @HambaAllah_411: Kira kira Perlakuannya sama gak dengan PPKM  pribumi atau Penyekatan Di Darat'"
"negatif, b'RT @tirta_hudhi: Usul gaji pejabat dicut  sebagian donk, agar senasib dengan temen temen yg ppkm\n\nKan yg gaji dr uang rakyat tuh\n\nrakyatnya\xe2\x80\xa6'"
"netral, b'RT @Mdy_Asmara1701: Pak Anies sidak kantor yang melanggar PPKM Darurat, dari Panglima buzzer sampai kroco""nya pada kepanasan..\n\nPak Anies p\xe2\x80\xa6'"
"positif, b'@Sunda_Fess Mending Hees we diimah. PPKm kieu,stay safe teu Jang sorangan ge sing karunya ka batur ...'"
"positif, b'MARI BERPERAN AKTIF DALAM MELAKSANAKAN PPKM DARURAT\n\nKami menghimbau kepada seluruh masyarakat selama pelaksanaan PPKM DARURAT agar selalu mematuhi Aturan Pemerintah dan Protokol kesehatan 5M.\n#VaksinasiPPKM5M\n#AyoTaatiPPKM #TetapDirumahSaja #Ingat5M #bersatulawancovid19 https://t.co/Ha24eI67Hk'"
"positif, b'@ooichayangituya 2021 PPKM\n ""Perbanyak Pergi Ke Masjid :)"" wkw'"
"netral, b'RT @DKIJakarta: Pemprov DKI Jakarta memberlakukan Surat\xc2\xa0 Tanda Registrasi Pekerja (STRP) selama PPKM Darurat, 3-20 Juli 2021. \n\nSimak poin-\xe2\x80\xa6'"
"positif, b'RT @DioR3born: Yok dukung kebijakan PPKM Darurat dengan cara tetap dirumah saja,\n\nPatuhi prokes untuk melindungi diri kita dan keluarga ter\xe2\x80\xa6'"
"negatif, b'@Mdy_Asmara1701 Mohon pencerahan apa yg harus kami perbuat dari yg saya yakini bahwa d Banda Aceh bakal terjadi ketidak Adilan dalam penerapan PPKM. PKL cuma blh melayani pembeli  sampai pukul 20.00 semntara restoran boleh melayani pembeli 24 jam.'"
"negatif, b'RT @YanHarahap: Bamsoet Nilai PPKM Darurat Sia-sia jika Bandara Tak Ditutup, Yan Harahap: tuh Siapa Biang Keroknya?  https://t.co/3ADQ78C6jx'"
"positif, b'RT @DioR3born: #PPKMVaksinasiSaveNKRI\n.\n.\nPelaksanaan PPKM Darurat Jawa - Bali adalah upaya Pemerintah dalam memutus mata rantai penyebaran\xe2\x80\xa6'"
"positif, b'@memory_usang @lakitulenbukan @eko_kuntadhi Kelamaan kl cuma 1... Seandainya bisa 10-20 per hari... Indonesia bakal damai stlh PPKM...'"
"positif, b'RT @fadlannuuwaar: PPKM =PERBANYAK PERGI KE MASJID ALLAH LINDUNGI DIRIMU DARI SEGALAH MACAM WABA, VIRUS, PENYAKIT, BALA BENCANA , BAHKAN HA\xe2\x80\xa6'"
"positif, b'Dulung PPKM\n\nYuk Disiplin PPKM https://t.co/XxsxicCcbH'"
"positif, b'PPKM darurat cara trbaik tekan penyebaran covid19\n\nYuk Disiplin PPKM https://t.co/0NzFQnNc6J'"
"positif, b'RT @fadlannuuwaar: PPKM =PERBANYAK PERGI KE MASJID ALLAH LINDUNGI DIRIMU DARI SEGALAH MACAM WABA, VIRUS, PENYAKIT, BALA BENCANA , BAHKAN HA\xe2\x80\xa6'"
"positif, b'RT @Penyair_Berdiri: Selama PPKM darurat,\nsemaksimal mungkin kita tetap di rumah, Jika mendesak untuk keluar rumah, kita harus menaati prot\xe2\x80\xa6'"
"positif, b'RT @dehadaud: Cara efektif agar taat mengikuti aturan PPKM Darurat ? \n\nSelamat pagi manteman, sehat selalu dan tetap taat Prokes\n\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https\xe2\x80\xa6'"
"positif, b'yang lagi dirumah, tenang aja, Pemerintah sediakan bansos selama PPKM\n\nYuk Disiplin PPKM https://t.co/3Fso6pek7q'"
"negatif, b'RT @myputun: Mahasiswa di Kota Makassar Blokade Jalan, Tuntut Presiden Jokowi Bubarkan PPKM dan Pulangkan TKA China https://t.co/TSinIinhSK'"
"positif, b'RT @DevitaYani_Y: Pelaksanaan PPKM darurat sudah resmi diberlakukan..\nPemberlakuan PPKM darurat sudah tepat, untuk menekan penyebaran virus\xe2\x80\xa6'"
"positif, b'RT @Mdy_Asmara1701: Yang penting sekarang...\n\nPartai manapun yang berjuang untuk rakyat apalagi yang membantu langsung di tengah PPKM Darur\xe2\x80\xa6'"
"positif, b'RT @S4fitr1HS: Bulog siap melaksanakan penugasan menyalurkan tambahan beras untuk bantuan sosial kepada 10 juta penerima Bantuan Sosial Tun\xe2\x80\xa6'"
"netral, b'RT @francmohede: Tajam ke segala penjuru. TOP masgub @aniesbaswedan \nhttps://t.co/eVJPfFaD9b'"
"netral, b'RT @detikcom: ""Saya harap pemerintah bisa memperhatikan, jadikan pelajaran dan kejadian ini merupakan yang terakhir kalinya. Cukup istri sa\xe2\x80\xa6'"
"negatif, b'RT @tirta_hudhi: Usul gaji pejabat dicut  sebagian donk, agar senasib dengan temen temen yg ppkm\n\nKan yg gaji dr uang rakyat tuh\n\nrakyatnya\xe2\x80\xa6'"
"negatif, b'RT @geloraco: Usai Tukang Bubur, Giliran Penjual Bakso Didenda 5 Juta karena Langgar PPKM Darurat\n\nhttps://t.co/3NUMzUfA3U'"
"positif, b'RT @fadlannuuwaar: PPKM =PERBANYAK PERGI KE MASJID ALLAH LINDUNGI DIRIMU DARI SEGALAH MACAM WABA, VIRUS, PENYAKIT, BALA BENCANA , BAHKAN HA\xe2\x80\xa6'"
"positif, b'RT @1802_kimmi: Jika kami terpapar dlm tugas sebagai Nakes,,itu sudah resiko kami\nKami mohon \xf0\x9f\x99\x8f\nPatuhi PROKES &amp; jaga kesehatan,\nOjo Ngeyel\nA\xe2\x80\xa6'"
"negatif, b'RT @RachlanNashidik: Bermacam reaksi orang Indonesia menafsirkan PPKM. Setidaknya ada 4 yang saya baca:\n\nPelan Pelan Kita Mati. Pelan Pelan\xe2\x80\xa6'"
"netral, b'RT @aiceindonesia: Mau ngumpulin Teman Aice yang kegiatannya selama PPKM Darurat cuma rebahan aja \xf0\x9f\x99\x8c Yuk kaum rebahan rapatkan barisan, kita\xe2\x80\xa6'"
"positif, b'@IskandarKen1 @PDemokrat PD, blebek... blebek...\nYuk Disiplin PPKM #terimakasihnakes #RakyatBersamaJokowi'"
"netral, b'Dinas Ketahanan Pangan Kab. Garut Salurkan Beras CPPD Dimasa PPKM Darurat https://t.co/7oZubzGszm'"
"negatif, b'Dokmin sedih loh, PPKM datang lagi. Bukan sedih karena gak mau angka covid turun, tapi sedih karena \xe2\x80\x9canjuran ke dokter gigi kembali ke kasus2 emergency atau darurat saja\xe2\x80\x9d\n\nIya kalau emergencynya karena trauma, dll. Nah emergency yg umum terjadi adalah sakit gigi tak tertahankan. https://t.co/KuZNEeKCDV'"
"netral, b'RT @Rizmaya__: Ceramah yang mencerdaskan umat, terima kasih pak Ustad \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n\nSelama pelaksanaan PPKM Darurat: kenapa Masjid Ditutup, Pasar Dib\xe2\x80\xa6'"
"positif, b'RT @detikcom: Kemampuan menyembuhkan lebih banyak pasien tidak terlepas dari kontribusi masyarakat yang taat peraturan PPKM Darurat maupun\xe2\x80\xa6'"
"netral, b'RT @francmohede: Tajam ke segala penjuru. TOP masgub @aniesbaswedan \nhttps://t.co/eVJPfFaD9b'"
